2025-08-19 22:51:55 |  WARNING | jarvis_ai | load_config:186 | Config file config/config.yaml not found, using defaults
2025-08-19 22:51:55 |     INFO | jarvis_ai | _create_directories:379 | Created directory: data
2025-08-19 22:51:55 |     INFO | jarvis_ai | _create_directories:379 | Created directory: plugins
2025-08-19 22:51:55 |     INFO | jarvis_ai | _create_directories:379 | Created directory: config
2025-08-19 22:51:55 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:51:55 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.00s
2025-08-19 22:52:03 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:52:03 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:52:03 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:52:03 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:52:12 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:52:12 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:52:12 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:52:12 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:52:33 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:52:33 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:52:33 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:52:33 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:56:58 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:56:58 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:56:58 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:56:58 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:56:58 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:56:58 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
2025-08-19 22:56:58 |     INFO | jarvis_ai | load_config:197 | Configuration loaded successfully
2025-08-19 22:56:58 |     INFO | jarvis_ai | log_performance:82 | PERFORMANCE: load_configuration completed in 0.01s
